"","day","con","rep","hc","co2","co","car","dev"
"92",4,"2",1,4.9,13.61,0.04,"Bentley",0
"93",4,"2",2,6.55,13.53,0.03,"Bentley",0
"94",4,"2",3,NA,NA,NA,"Bentley",0
"95",4,"3",1,0,13.96,0.02,"Bentley",0
"96",4,"3",2,3.67,13.89,0.04,"Bentley",0
"97",4,"3",3,0.07,13.98,0.02,"Bentley",0
"98",4,"4",1,8.46,13.88,0.08,"Bentley",0
"99",4,"4",2,9.69,13.23,0.12,"Bentley",0
"100",4,"4",3,1.62,13.69,0.08,"Bentley",0
"101",5,"1",1,10,13.91,0.05,"Bentley",0
"102",5,"1",2,10.77,13.93,0.05,"Bentley",0
"103",5,"1",3,8.58,14.02,0.06,"Bentley",0
"104",5,"2",1,8.9,14.01,0.08,"Bentley",0
"105",5,"2",2,8.3,14.14,0.06,"Bentley",0
"106",5,"2",3,4.54,14.01,0.04,"Bentley",0
"107",5,"3",1,0.31,14.36,0.03,"Bentley",0
"108",5,"3",2,2.31,14.18,0.03,"Bentley",0
"109",5,"3",3,1,14.33,0.04,"Bentley",0
"110",5,"4",1,12.69,14.33,0.11,"Bentley",0
"111",5,"4",2,16.23,14.42,0.12,"Bentley",0
"112",5,"4",3,14.46,14.54,0.11,"Bentley",0
"113",6,"1",1,7.54,14.9,0.05,"Bentley",0
"114",6,"1",2,6.69,14.93,0.05,"Bentley",0
"115",6,"1",3,3.92,14.95,0.04,"Bentley",0
"116",6,"2",1,6.92,15.14,0.04,"Bentley",0
"117",6,"2",2,6.54,15.11,0.03,"Bentley",0
"118",6,"2",3,4.69,15,0.03,"Bentley",0
"119",6,"3",1,8.69,15.14,0.05,"Bentley",0
"120",6,"3",2,2.85,15.71,0.05,"Bentley",0
"121",6,"3",3,1.77,15.87,0.05,"Bentley",0
"122",6,"4",1,14.31,15.89,0.11,"Bentley",0
"123",6,"4",2,12.38,15.96,0.11,"Bentley",0
"124",6,"4",3,11.38,16,0.11,"Bentley",0
"125",7,"1",1,NA,NA,NA,"Bentley",1
"126",7,"1",2,NA,NA,NA,"Bentley",1
"127",7,"1",3,NA,NA,NA,"Bentley",1
"128",7,"2",1,11.23,15.34,0.08,"Bentley",1
"129",7,"2",2,8.46,15.3,0.04,"Bentley",1
"130",7,"2",3,9.77,15.24,0.04,"Bentley",1
"131",7,"3",1,6.77,15.49,0.06,"Bentley",1
"132",7,"3",2,5.38,15.68,0.05,"Bentley",1
"133",7,"3",3,4.85,15.7,0.05,"Bentley",1
"134",7,"4",1,17.85,15.6,0.09,"Bentley",1
"135",7,"4",2,15.62,15.61,0.09,"Bentley",1
"136",7,"4",3,16.77,15.6,0.1,"Bentley",1
"137",8,"1",1,9.69,14.9,0.08,"Bentley",1
"138",8,"1",2,5.38,14.83,0.05,"Bentley",1
"139",8,"1",3,5,14.85,0.07,"Bentley",1
"140",8,"2",1,2.15,15,0.05,"Bentley",1
"141",8,"2",2,1.15,15,0.04,"Bentley",1
"142",8,"2",3,1.15,14.99,0.04,"Bentley",1
"143",8,"3",1,3.31,15.18,0.04,"Bentley",1
"144",8,"3",2,2.77,15.28,0.05,"Bentley",1
"145",8,"3",3,3,15.29,0.07,"Bentley",1
"146",8,"4",1,9.38,15.27,0.11,"Bentley",1
"147",8,"4",2,7.08,15.34,0.11,"Bentley",1
"148",8,"4",3,9.31,15.35,0.12,"Bentley",1
"149",9,"1",1,5,14.6,0.05,"Bentley",1
"150",9,"1",2,3.46,14.6,0.05,"Bentley",1
"151",9,"1",3,2.92,14.6,0.05,"Bentley",1
"152",9,"2",1,5.31,14.69,0.02,"Bentley",1
